	locus_tag
0	MtrunA17_CPg0492181
1	MtrunA17_CPg0492191
2	MtrunA17_CPg0492221
3	MtrunA17_CPg0492231
4	MtrunA17_CPg0492241
5	MtrunA17_CPg0492251
6	MtrunA17_CPg0492261
7	MtrunA17_CPg0492271
8	MtrunA17_CPg0492281
9	MtrunA17_CPg0492291
10	MtrunA17_CPg0492301
11	MtrunA17_CPg0492311
12	MtrunA17_CPg0492321
13	MtrunA17_CPg0492351
14	MtrunA17_CPg0492361
15	MtrunA17_CPg0492371
16	MtrunA17_CPg0492401
17	MtrunA17_CPg0492421
18	MtrunA17_CPg0492431
19	MtrunA17_CPg0492451
20	MtrunA17_CPg0492461
21	MtrunA17_CPg0492481
22	MtrunA17_CPg0492501
23	MtrunA17_CPg0492514
24	MtrunA17_CPg0492541
25	MtrunA17_CPg0492551
26	MtrunA17_CPg0492561
27	MtrunA17_CPg0492581
28	MtrunA17_CPg0492591
29	MtrunA17_CPg0492601
30	MtrunA17_CPg0492621
31	MtrunA17_CPg0492631
32	MtrunA17_CPg0492641
33	MtrunA17_CPg0492651
34	MtrunA17_CPg0492671
35	MtrunA17_CPg0492681
36	MtrunA17_CPg0492701
37	MtrunA17_CPg0492711
38	MtrunA17_CPg0492721
39	MtrunA17_CPg0492731
40	MtrunA17_CPg0492741
41	MtrunA17_CPg0492751
42	MtrunA17_CPg0492761
43	MtrunA17_CPg0492771
44	MtrunA17_CPg0492781
45	MtrunA17_CPg0492791
46	MtrunA17_CPg0492811
47	MtrunA17_CPg0492821
48	MtrunA17_CPg0492841
49	MtrunA17_CPg0492851
50	MtrunA17_CPg0492861
51	MtrunA17_CPg0492871
52	MtrunA17_CPg0492881
53	MtrunA17_CPg0492891
54	MtrunA17_CPg0492901
55	MtrunA17_CPg0492941
56	MtrunA17_CPg0492961
57	MtrunA17_CPg0492971
58	MtrunA17_CPg0492981
59	MtrunA17_CPg0492991
60	MtrunA17_CPg0493001
61	MtrunA17_CPg0493021
62	MtrunA17_CPg0493031
63	MtrunA17_CPg0493041
64	MtrunA17_CPg0493051
65	MtrunA17_CPg0493061
66	MtrunA17_CPg0493131
67	MtrunA17_CPg0493171
68	MtrunA17_CPg0493181
69	MtrunA17_CPg0493211
70	MtrunA17_CPg0493221
71	MtrunA17_CPg0493231
72	MtrunA17_CPg0493261
73	MtrunA17_CPg0493281
74	MtrunA17_CPg0493291
75	MtrunA17_CPg0493311
76	MtrunA17_CPg0493341
77	MtrunA17_CPg0493351
78	MtrunA17_CPg0493361
79	MtrunA17_CPg0493371
80	MtrunA17_CPg0493391
81	MtrunA17_CPg0493401
82	MtrunA17_CPg0493411
83	MtrunA17_CPg0493421
84	MtrunA17_CPg0493441
85	MtrunA17_Chr0c01g0488941
86	MtrunA17_Chr0c01g0488951
87	MtrunA17_Chr0c01g0488961
88	MtrunA17_Chr0c01g0488971
89	MtrunA17_Chr0c01g0488981
90	MtrunA17_Chr0c01g0488991
91	MtrunA17_Chr0c01g0489001
92	MtrunA17_Chr0c01g0489031
93	MtrunA17_Chr0c01g0489051
94	MtrunA17_Chr0c01g0489061
95	MtrunA17_Chr0c01g0489081
96	MtrunA17_Chr0c01g0489111
97	MtrunA17_Chr0c01g0489121
98	MtrunA17_Chr0c01g0489131
99	MtrunA17_Chr0c01g0489141
100	MtrunA17_Chr0c01g0489151
101	MtrunA17_Chr0c01g0489161
102	MtrunA17_Chr0c01g0489171
103	MtrunA17_Chr0c01g0489181
104	MtrunA17_Chr0c01g0489211
105	MtrunA17_Chr0c01g0489221
106	MtrunA17_Chr0c01g0489231
107	MtrunA17_Chr0c01g0489241
108	MtrunA17_Chr0c01g0489251
109	MtrunA17_Chr0c01g0489261
110	MtrunA17_Chr0c01g0489311
111	MtrunA17_Chr0c01g0489321
112	MtrunA17_Chr0c01g0489331
113	MtrunA17_Chr0c01g0489341
114	MtrunA17_Chr0c01g0489351
115	MtrunA17_Chr0c01g0489361
116	MtrunA17_Chr0c01g0489371
117	MtrunA17_Chr0c01g0489381
118	MtrunA17_Chr0c01g0489391
119	MtrunA17_Chr0c01g0489401
120	MtrunA17_Chr0c01g0489411
121	MtrunA17_Chr0c01g0489421
122	MtrunA17_Chr0c01g0489441
123	MtrunA17_Chr0c01g0489451
124	MtrunA17_Chr0c01g0489461
125	MtrunA17_Chr0c01g0489471
126	MtrunA17_Chr0c01g0489481
127	MtrunA17_Chr0c01g0489491
128	MtrunA17_Chr0c01g0489511
129	MtrunA17_Chr0c01g0489521
130	MtrunA17_Chr0c01g0489551
131	MtrunA17_Chr0c01g0489561
132	MtrunA17_Chr0c01g0489571
133	MtrunA17_Chr0c01g0489581
134	MtrunA17_Chr0c01g0489601
135	MtrunA17_Chr0c01g0489611
136	MtrunA17_Chr0c01g0489631
137	MtrunA17_Chr0c01g0489641
138	MtrunA17_Chr0c02g0489651
139	MtrunA17_Chr0c02g0489661
140	MtrunA17_Chr0c02g0489681
141	MtrunA17_Chr0c02g0489691
142	MtrunA17_Chr0c02g0489721
143	MtrunA17_Chr0c02g0489731
144	MtrunA17_Chr0c02g0489751
145	MtrunA17_Chr0c02g0489761
146	MtrunA17_Chr0c02g0489781
147	MtrunA17_Chr0c02g0489791
148	MtrunA17_Chr0c02g0489811
149	MtrunA17_Chr0c02g0489821
150	MtrunA17_Chr0c02g0489831
151	MtrunA17_Chr0c03g0489861
152	MtrunA17_Chr0c03g0489881
153	MtrunA17_Chr0c03g0489891
154	MtrunA17_Chr0c03g0489911
155	MtrunA17_Chr0c03g0489921
156	MtrunA17_Chr0c03g0489941
157	MtrunA17_Chr0c03g0489951
158	MtrunA17_Chr0c03g0489961
159	MtrunA17_Chr0c03g0489971
160	MtrunA17_Chr0c03g0489991
161	MtrunA17_Chr0c03g0490011
162	MtrunA17_Chr0c03g0490021
163	MtrunA17_Chr0c03g0490031
164	MtrunA17_Chr0c03g0490041
165	MtrunA17_Chr0c03g0490051
166	MtrunA17_Chr0c03g0490061
167	MtrunA17_Chr0c04g0491971
168	MtrunA17_Chr0c04g0491981
169	MtrunA17_Chr0c04g0491991
170	MtrunA17_Chr0c04g0492001
171	MtrunA17_Chr0c04g0492011
